,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,Shared topic 16,Shared topic 17,Shared topic 18,Shared topic 20,H3K27me3 private topic 1
Plek2,-0.49586433,-0.24173047,-0.94506025,-0.37671816,0.47329772,-0.65372396,-0.63861537,-0.07241999,0.382658,-0.22379896,0.044351816,-0.06281928,-0.5698458,0.6046468,0.13101605,-0.12852117,-0.552519,-0.1597727
Fhit,-0.17673355,0.18410999,-0.3641598,-0.5812898,0.00871852,-0.8221382,-1.5484601,-0.67181003,0.22714904,0.6003461,-0.3812306,0.5979146,-0.48810217,-0.899502,-0.22892758,0.23143601,-0.05857254,-0.1953026
Slc44a5,-1.4129647,-0.29890692,0.0050923824,-0.2508339,-3.1288517,-0.21953827,-0.055041194,-0.7938434,-0.4201314,-0.010398954,-0.06410065,-0.15223108,0.5552227,-0.2827989,-0.6334884,-0.37717634,0.14901105,-0.19231768
Tead1,-0.6859856,0.3403474,-1.0271442,-1.8164368,-0.11189862,-1.5400478,0.16429377,-1.6074097,0.77049494,-0.39993978,-0.7297868,-0.24379149,-0.021169722,-0.44800496,0.18955791,0.32755595,-0.47857854,-0.3835565
Cav3,-2.0175495,-0.4001097,-0.08638722,-1.6148634,0.48679852,-0.6032588,-0.9919858,-1.5091672,-2.8358827,-0.014547586,-0.5690597,-2.3456764,-2.1807036,-1.1070166,-0.5434449,-1.5254134,-0.17111391,-0.9869216
Tnfrsf1a,0.4450376,0.058755428,-0.4423428,-3.3878314,-0.043250293,-1.1378726,-2.430204,-2.5005083,1.3597014,0.069655,-0.7469405,0.028842539,-1.1921513,-1.4494853,0.15531904,-0.7240174,-2.16768,-0.9731791
Esyt1,-0.6038821,-0.60398936,-0.39181295,-0.41127595,0.6438141,-0.44023237,-0.76462877,-1.2095275,0.67407537,-0.68612564,-0.7689227,-0.09932768,-0.8463311,0.43337888,-1.0477242,-0.61110145,-0.88270605,-0.38089663
Riiad1,0.8336556,-1.0964019,-0.7166492,-0.9921261,-0.28528833,-0.9190384,-0.55621177,-2.9158378,-1.5437511,-2.92609,-3.3198233,-2.8248155,-0.3754264,-0.31975824,-0.23639303,0.42373145,-0.93952906,-0.6501827
Nt5c3,-3.2618384,-2.658468,-0.97992027,-2.9580007,0.20823336,-3.0338392,-0.35252088,-2.8685837,-3.392363,-0.02656877,-1.206619,-0.82721806,-1.1091112,-2.7833014,-3.9173143,-1.1213067,-1.473917,-1.2863702
Sema7a,-1.2820992,-0.72432387,0.12590942,0.4054836,-1.3079737,0.26227614,0.28131405,0.14874205,-2.8215294,0.24308985,-0.07494699,-0.5330075,0.053275004,-0.060177803,-2.9140968,-0.06864429,0.26653153,-0.16661918
Slc9a3r1,-0.14593759,-0.14042546,-0.78690517,0.45782048,-0.22222015,-0.9579287,-1.6375883,0.38362116,0.8263144,-0.15691671,-0.5481492,-0.2034728,-0.18368761,-0.72708064,0.59968996,0.17076534,-0.39671028,-0.14458284
Slitrk1,-1.7958289,-3.9300692,-0.543639,0.78996396,-0.6168891,0.17782816,-0.33935586,0.8969276,-3.0518258,-1.3479078,0.22623715,-0.59274024,-0.7440694,0.7543913,-3.1330645,0.20566678,0.64237154,-0.20932369
Alg11,-3.4795437,-1.9860837,-0.7312043,0.15708506,0.18928277,-0.4271366,-0.88275534,0.52220774,-3.0694036,0.060743153,0.026560128,-1.1236048,-0.11382663,0.06422037,-1.7570062,0.040186584,-1.1983981,-0.35167795
Kank2,-3.48788,-2.4836762,-2.3404663,-0.7498798,0.35605574,-1.1160939,-0.8762666,-1.5770714,-0.7386563,-0.9587675,-0.60570157,-2.0227675,-0.23637515,-2.475701,0.07009661,-0.7540483,-0.6208223,-0.9746083
Rbpjl,0.07844262,0.24759078,-0.24564783,0.67152655,0.15301602,-0.12377731,-0.6799197,0.6771996,0.4406063,-0.15679672,-0.62652856,0.25711155,-0.75335634,-3.754806,0.3877225,-0.50508654,-0.45542336,0.07854327
1700018B08Rik,-0.28803295,0.14522418,0.065831006,-0.08580516,-0.105508044,-0.25203344,-0.7112086,-0.37882417,-0.26669773,-0.22762765,-0.88347876,0.0826917,-0.21509305,-2.8074074,0.21241671,-0.5524306,-0.2321044,-0.26039279
Lbx1,0.40049252,-0.26543885,-0.4495653,0.42740238,-0.31142443,0.24407196,-0.16026561,0.09162182,-0.17850499,-0.13487929,0.28169045,0.5746363,-0.2981352,0.08046057,-0.653981,-0.24187726,-0.10787717,0.103346564
1700054M17Rik,-0.8808435,-0.06550512,-0.36899388,-0.35439563,0.6175768,-0.31367895,-0.6427692,-0.7006252,-0.8151684,-0.1782136,-0.8412475,-0.15771769,-0.5075961,-1.0474684,-0.34190708,-0.14568533,-0.32762635,-0.3433935
Nrg3,-1.5958022,-0.11668353,-0.5129641,0.4684906,-1.4112924,0.07004389,-0.74295753,0.26311326,-1.7567171,0.10656053,0.112638384,-0.30743915,-0.3688836,-0.08614475,-0.7301819,0.24842286,0.14516479,-0.12093659
Gm9895,-1.1096147,-2.8597207,-0.123577476,-2.003544,-3.3725417,-2.906582,-0.74379873,-3.5131786,-1.3469603,-1.2053537,-1.0174131,-0.2857784,0.36231506,-0.42139518,-0.9347234,-1.0864115,-0.021300435,-0.9479555
Ephx3,-0.20322518,-2.3909955,-0.6327111,-0.2441336,-1.1128298,-0.36683083,-0.6360855,-0.8397502,-0.09244257,-3.3341732,-0.48458195,-2.2586164,0.22074395,0.33914727,-0.71256566,-0.14134753,-1.9722052,-0.42471766
Artn,-0.081415154,-0.14521816,-0.59577066,-0.017609678,0.09548797,-0.7734235,0.4689942,-0.47601852,0.18548234,-3.4386165,-1.1081667,0.40472215,-0.3076182,-3.7400556,-0.24648915,-0.6828181,0.30991814,-0.08157715
Adgra2,0.21909317,-0.029794931,-2.5159354,-0.57982254,0.014482245,0.5185626,-0.2756642,-2.0554411,0.9252511,-0.18303591,-3.0671365,0.6603095,-1.3302662,-3.6160662,0.48723978,-1.5717041,-0.93611306,-0.19478153
Elmo2,1.6222832,-0.73104334,-0.82326376,-1.6774507,0.5607443,-1.2648635,-1.2937205,-1.4363959,-0.4616865,-2.0800982,-0.8604802,-0.4588701,-0.55416226,-1.1462345,0.069132864,-0.21946931,-0.8608549,-0.66576433
Med16,-0.6006635,0.8086728,-0.7957759,-1.4630809,-0.2736395,-0.89442563,-0.91172624,-0.9969599,-1.2390225,-0.7495568,-1.3656297,0.13213181,0.3400119,-1.5036929,-0.45437413,-3.1437259,-0.68227965,-0.6025952
Lhx2,0.4841761,0.0076644477,-0.5260113,0.14156404,0.22628321,0.2424311,-0.26992887,0.38388968,0.05815488,-0.10058437,0.33459976,-0.828967,-0.5238281,0.22259034,0.5037302,-0.18996385,-0.07791498,-0.01579949
Ttf1,0.1343661,-0.19735074,-0.79509485,-1.007128,-0.6567515,-0.93645877,-0.65570104,-0.39716128,0.29340777,-1.0256639,-1.3414199,-0.7159709,0.0053154826,0.024122238,0.43698895,-0.45649445,-0.5583456,-0.5329059
Atp1a3,-0.3971222,-1.275585,-0.03140588,0.53650284,-1.1318171,0.46144497,-0.44224107,0.60000455,-1.8794808,-0.1035588,0.42266577,-0.79024684,-0.50900984,0.7474997,-1.5228968,-0.05378201,-0.18679075,-0.12038399
Wrap73,0.03791918,-0.6555823,-0.78015226,0.0034620464,-0.2850892,-0.03647789,-0.06172239,0.03886299,-0.18476701,-0.65902185,-0.012389109,0.107942134,-0.16851526,-0.098331705,0.0054080337,-0.09611614,-0.10434634,-0.06655622
Hsd11b2,-0.13338365,0.045172364,0.18408304,0.41424072,-0.7066362,-1.9456677,0.43973413,-0.6655352,-0.70603466,-1.058211,-2.6519828,-0.35351393,0.13685304,-1.2006915,-1.2324481,-2.1169796,-0.5516815,-0.3252341
Plxna4,-1.3282429,-0.46903566,-1.0047352,-0.25878966,-0.47627145,0.14249238,-0.014888819,-0.49379826,-1.4664875,0.40796536,0.71532327,-0.84989095,0.21594334,0.07027255,-1.2589647,0.69514626,0.023856372,-0.20609714
Sh3d21,0.2771278,-1.1562514,-1.0568454,-1.3249112,0.7528366,-1.0804801,-0.8338251,-1.3370967,0.47602865,-3.6459298,-2.251399,-0.2894549,-0.07942152,-2.301765,-0.5253148,-2.663879,-1.6322775,-0.7504442
Pax8,0.11999573,-0.59067005,-0.6081803,0.25440094,-0.3315998,-0.17944926,-0.6232097,0.035226554,-0.3205081,0.08027227,0.08473383,0.19000214,-0.90847135,-0.06731957,-0.19313511,-0.28898445,-0.14439994,-0.038458556
