,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,Shared topic 16,Shared topic 17,Shared topic 18,Shared topic 20,H3K27ac private topic 2,H3K27ac private topic 5
Lhx2,-0.046855852,-0.8198586,-0.52551824,0.014106005,0.42420727,-0.18391104,-0.45041904,0.0061671734,-0.2124321,-0.31333834,-0.40780753,0.8822477,-0.20785055,-0.10639371,-0.2450299,-0.72355264,-0.6827894,-1.4281763,-0.5806442
Ttf1,-0.50310415,-0.42092106,-0.3740727,-0.7028753,-4.1202717,-1.2907884,-0.82430947,-0.42235947,-1.1025031,-0.6247471,-0.6732398,-0.59287846,-1.0360644,-1.2693895,-0.5752922,-1.1502101,-0.5932686,0.5338652,-2.7032416
Atp1a3,-0.8176106,0.03072676,-3.180796,-1.3161385,0.18997902,-1.7156011,-2.2220602,-1.0133915,1.3510067,-3.5200486,-3.7306716,-0.060209513,-0.32724613,-1.5095521,0.7306951,-0.9232723,-1.0977912,-0.73240596,0.91792464
Wrap73,-0.43022096,-0.12298067,-0.0015636683,-0.23710029,-4.3164444,-0.4041778,0.5892557,-0.16480795,-0.5044519,-1.426277,-0.29585296,-0.30392423,0.47579414,-0.8277619,-2.2042918,-0.6949657,-2.931709,-0.24976002,-1.1268258
Hsd11b2,-1.862416,-0.06888297,-0.8330946,-1.9384634,-4.122871,-0.2758396,-0.55351484,-0.5966462,-0.82072854,-1.5340656,0.0004339218,-0.8689564,-2.042184,-1.9724928,-0.22051728,-0.62249315,0.18089235,0.13754058,0.2136401
Plxna4,-0.068982795,-0.3921622,0.67060196,-0.4907109,-0.7397294,-1.0455258,-0.118874446,-1.2058105,0.0938719,-0.3664503,-0.048840523,-0.8049442,-0.08879102,-0.109828874,0.15158093,0.26051345,-0.29956946,-0.19003884,-0.4668773
Sh3d21,-3.9700234,0.11267698,-0.15332477,-0.10364914,-4.08587,0.04543513,-1.1184458,0.1690158,-1.3513403,-0.5064938,0.63927084,-1.6946937,0.020317078,0.19812322,-4.310002,-0.251972,0.19100916,0.303932,-0.98240936
Pax8,-0.07331434,0.63028765,-1.1380789,-1.7129828,-0.08182627,-1.2199452,-1.6367166,-3.3658664,0.599061,-0.9343704,-0.39810097,-1.405683,-0.9301447,-0.8964768,1.3251487,-0.6999247,-1.5915431,-1.0396181,0.40903586
Snx21,-1.4170988,-3.3399436,-1.0973442,-0.4335862,-0.31418067,-1.0261884,0.13482556,-0.5389342,-1.9196398,0.32352698,-0.21412712,-0.29121,0.185996,-0.5174253,-4.214197,-0.6894697,-0.3764497,-0.37755728,-2.4084346
Thy1,-0.82970065,-0.6665742,-0.8686126,-0.054329902,-3.9587286,-0.6543603,-0.9570162,-0.5172102,0.24346414,0.18791074,-0.39829463,-0.47097883,-1.3518305,-0.5524981,-2.2299986,-0.37460184,-0.39269888,-1.1000963,-1.7841129
Gpr37l1,1.6884537,0.012025535,0.2594006,-1.2697363,-3.8321235,-0.42287335,-1.0003178,-0.92734975,-0.52691376,-2.4918451,-0.6845869,-0.42361534,-0.42645755,-0.25712162,0.13991183,-1.6357183,-0.742668,-0.6128497,0.06471917
Dbn1,-0.12570286,0.8222771,-0.7098964,-0.7080199,0.7229844,-0.3407237,-1.315171,-0.12138225,0.66154957,-0.7929499,-0.3493146,0.43963802,-0.45825112,-0.975461,0.9826411,-0.64776945,-0.046671063,-1.3691565,0.09232521
Gbf1,-0.00045141578,-4.276126,-0.030016154,-0.46131715,-1.5473756,-0.9623768,-0.4058463,0.35414237,-0.6263908,0.06856319,-0.3719034,-0.46244544,-0.5582739,-0.38095888,-1.3060739,0.10800621,-0.36643752,-1.5945172,-0.6836561
Hspb2,-4.568918,0.26377827,1.5855851,-1.8790209,-4.2996063,-1.1906815,-0.74873054,0.8797866,-4.325609,0.49984264,-0.93410563,0.04993838,0.25414902,-0.51354533,-4.65472,-3.9311364,0.64167714,-3.1844335,-3.4650621
Aff3,-0.59289736,0.114135966,-1.3989881,-0.42416823,-0.39005047,-0.23651394,-1.0503719,-1.0859632,0.14253773,-0.099092305,0.82537496,-0.43289188,-0.10942531,1.0167879,0.34687382,0.3541977,0.17253473,-0.9283907,-0.33863267
Med22,-0.15270266,0.13856858,-0.39653707,-0.7926617,-4.4678774,-0.18015179,0.050300002,-0.13427629,-0.15965901,-0.6247878,-0.130202,-0.20395514,-0.085513905,0.16676188,-1.410417,-0.60770106,-0.33499098,-0.32321915,-0.14513743
Gngt2,-4.6058297,-0.02766779,0.13526869,-0.6697412,-4.100197,-0.5064309,-0.20352837,-0.47145638,-1.0638386,0.32938707,-0.07747504,-0.9711068,-0.41712674,-0.4924642,-0.70646906,-2.261949,0.53966904,-1.89482,-2.1051285
Zbtb18,1.3809773,0.62199473,-0.674155,-1.0841658,0.95383775,-0.7634031,-1.101146,-0.18809962,-0.2740496,-1.8873878,-0.9452158,0.75611824,-0.07124461,-0.83227277,-0.15253514,-1.1551551,-0.53621536,-0.7550392,0.5076636
Gm10789,-2.21888,-0.58633864,-0.56122756,0.119677305,-4.320642,0.11976212,-0.17848465,-0.25551617,0.3474699,-1.6872821,-0.75329834,-0.06952609,-0.005141884,-0.2365723,0.18836477,-1.1929893,-1.2045958,-0.28088146,0.2375009
Nfib,0.9371704,0.2745376,0.34151542,-0.54125357,-0.975798,0.24362567,-1.4569982,0.006406136,-1.0748814,-0.16951853,0.57249594,-0.25811398,-0.34687334,-0.075617015,-0.15404467,-0.45597,0.18920934,-0.6260332,-0.17653511
Gpr20,-1.6657251,0.2127431,-1.0621667,-0.36640614,-4.327259,-0.15031072,0.025249422,0.13008493,-2.3685021,0.21740228,-0.3701601,-0.5628815,-1.8123254,-1.0889406,-1.4052863,-0.3748105,-0.31214148,-1.3115184,-1.1386604
Crmp1,-0.2682525,0.7975614,-1.620806,-1.9018433,0.22280937,-1.7064867,-2.3054051,-1.5301371,0.98327625,-1.2622993,-0.07788566,-0.18801369,-0.7663976,-1.6079943,1.1032531,-0.1803046,-0.83676064,-1.4664825,0.030649096
Plk3,-0.41722178,0.74977756,-0.20238201,-0.35142905,-4.050893,-0.44481695,-0.3215474,-0.33186656,0.037213102,-1.1371669,-0.9708446,-0.18147317,-0.43475914,-1.0091679,-0.66507864,-1.9713444,-2.0723329,-0.45905337,-0.15266335
Immp2l,-0.39581174,-0.13156688,-0.70258117,-0.29631492,0.7188152,-0.62681264,0.24037573,-1.2787917,0.21918297,-1.2889326,-0.8203232,-0.21876273,-0.5175737,-0.48773396,0.25997335,-0.17933753,-0.69237804,0.015375972,-0.39142597
Samd10,-0.4548927,1.0720444,-0.7141839,-0.35040662,0.7509359,-0.32643384,-0.109635256,-0.41142192,0.5087266,-0.06316152,-0.8264557,-1.0862753,-0.27400666,-0.24324086,-1.0973436,-0.53171045,-0.9804609,-0.72490895,-0.3547834
Cebpa,-0.6217424,-0.013830125,-0.3997128,-0.23124318,1.0962512,0.25071296,-0.03911735,-0.66217005,-0.39185616,-0.051006928,-0.21872121,-1.0545769,-0.98958564,-0.39444652,-1.1605694,-0.48024422,-0.20057099,0.06970468,0.7346768
Gli2,0.4326765,-0.08429202,-0.70558375,0.46180695,-0.21069291,-0.006926827,-1.5213127,0.13046739,-1.180615,-0.51403844,0.9038496,-0.22803932,-0.11444527,0.96317387,-1.3691417,0.27720013,-0.18369013,-1.2809352,-0.31708106
Edn2,-0.29506966,-0.45184883,-0.135219,-0.60043955,0.9600433,-0.15771674,-1.5366478,-0.38034374,0.0056000277,-0.8465777,-1.000488,-0.19158794,-1.5546117,0.38307446,0.17836407,-0.014518946,-0.1668635,-0.8721633,-0.3372089
Sez6l2,-0.8050339,0.060195506,-0.4956575,-1.4617889,1.2533411,-1.5738889,-1.6875088,-1.0177217,0.9296422,-3.1358402,-0.979388,0.10266507,-1.1955186,-1.4329014,0.5221876,-3.496995,-1.8501742,-1.9122977,-0.6834568
Zbtb42,0.3007473,0.07745837,-0.28665596,-0.8431993,0.42742026,0.28670788,-0.6449414,-0.1712294,-0.07717304,0.048053518,0.085882485,-0.014765136,-1.7597673,-0.04512457,-0.7035682,-0.019317254,-1.1953064,-0.12146436,0.4321372
S100a10,-3.3194673,-0.171902,-0.9764827,0.013599962,-4.26528,-0.22348501,-1.3921902,0.027413875,-1.381444,0.11029589,0.6932769,-1.2737287,-0.6274518,-0.12571172,-1.496015,0.6179899,0.20324188,-0.13994625,-0.6084602
Kdm6b,0.50083643,-0.90295964,-0.35784912,-0.36790898,0.5622334,0.28266084,-0.68118066,0.06546028,-0.21615085,-0.7184322,-0.2332863,0.31703544,0.23090276,-0.067644306,0.24077499,-0.042783,-0.121119626,-0.08366815,-0.15145038
Csrp3,-1.0152975,-0.11542958,1.4394062,-3.1672282,0.688653,-1.539041,-1.6310158,-0.6913991,-1.3430353,-0.51376194,-1.123414,-2.6939917,-2.8768642,-4.8078065,-3.8806658,-2.4253244,-0.33988756,0.4967847,-0.20666969
Ccbe1,-1.9597579,-0.3342033,-0.8795796,-0.054791927,0.45823163,-0.3982796,-0.9668627,-0.81724346,-1.0455611,0.23081481,0.28534716,-0.6697655,-1.9004259,-1.4058661,-0.59419364,-1.0932119,0.34167266,-0.24060147,0.3463747
Ano1,-0.23665759,-0.21912083,-0.64199024,-0.15037602,-0.27795053,0.15448123,0.51831484,-0.88277155,-1.4050428,-0.55888605,0.06510228,0.5968871,-0.19251254,-1.3892736,-0.52748626,-0.5649334,-0.23619632,-0.7111761,-1.2824752
Spry4,-1.7049177,-0.522408,-0.051908076,0.4247502,0.63725746,-0.5846705,-0.8894532,0.9714507,-0.9966729,-0.24126625,-0.23854004,-0.06299974,0.036576807,-0.8822366,-1.347178,-0.45473424,-0.23917699,-0.051993906,-1.9989064
Zfhx2,0.34344614,0.082541496,-0.85145783,-2.7607932,-0.52368677,-1.291476,0.09732214,-0.58724475,0.61336154,-0.12009214,-0.9619051,-0.37093616,-0.5204478,-0.6408175,0.6767435,-0.5327401,-0.9009937,0.41638207,0.58257055
Cipc,0.12830678,-0.13018261,0.011764988,-0.3317011,0.16975701,-0.92094636,-0.45275515,-0.5067428,0.73994946,-0.71466,-0.50534594,-0.043276936,-0.6305676,-0.58273196,0.842186,-0.20695023,-0.43576214,-0.042154163,0.077139735
Mex3d,0.13265157,0.363671,-0.9202769,-0.25505054,0.50569487,-0.16405405,-1.132171,-0.18080877,0.48185804,-0.28479242,-1.1695734,0.30157682,-0.73798454,-2.0338173,0.26621386,-0.38542232,0.0629241,-0.14920202,0.3910761
Sall1,1.9567034,0.70352024,-0.4936556,-1.1049323,0.5393488,-1.0941458,-1.7314657,-1.7247603,0.2635632,-0.618585,-2.102957,0.026197702,-2.7519,-1.4075389,0.44332862,-1.045332,-0.9673913,-1.1462467,0.41225326
Lsamp,0.07026759,0.40115356,-0.7157892,-0.5762832,0.67439187,-0.46634838,-1.3248868,-0.4060481,0.8257177,0.07595515,-0.18675378,-0.103424475,-0.23306124,0.047445178,0.6037899,-0.22991285,-0.57367563,-0.28399915,0.16553035
Flt1,-0.92317617,-0.6569451,0.295025,-0.2677493,0.37908715,-0.7629117,-1.126797,-0.48554432,-0.8034459,-0.56982476,0.18593833,-0.6360104,0.04703909,-0.69883597,-2.1223364,-0.17030063,0.13113502,-0.2601934,0.1706003
