,Shared topic 1,Shared topic 2,Shared topic 9,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 4,Proteomics private topic 4
39_25,0.23476447,0.11134235,0.06527403,0.2865091,0.12560329,0.11295902,0.06354778
95_49,0.17896365,0.0934991,0.14853199,0.43336737,0.033112362,0.04058704,0.071938485
29_45,0.03543232,0.61466146,0.052474,0.031779647,0.11155649,0.100302786,0.05379328
108_46,0.103233315,0.22760522,0.08555769,0.36798915,0.08718278,0.07915762,0.049274176
47_32,0.13765605,0.06781519,0.060895808,0.050573654,0.28118727,0.28409773,0.11777428
89_5,0.09737492,0.084365994,0.15999568,0.041937955,0.38509354,0.20672308,0.024508895
61_32,0.03311079,0.08838488,0.016731158,0.01597358,0.26084435,0.48238268,0.10257257
17_45,0.1403491,0.12959029,0.1480526,0.15056086,0.17840056,0.15927278,0.0937738
106_25,0.06787599,0.05982911,0.5264756,0.10662805,0.10333639,0.05348883,0.08236605
42_33,0.10786018,0.0864348,0.16674837,0.05801579,0.22675908,0.25644207,0.09773972
59_14,0.1709844,0.052974835,0.12794265,0.25111622,0.0375455,0.037287544,0.3221489
68_35,0.113608226,0.13484865,0.14621021,0.25626028,0.06969587,0.08894543,0.19043133
22_58,0.22202012,0.04884436,0.17018074,0.23383476,0.08214516,0.059996556,0.18297832
79_17,0.051801383,0.33882007,0.10991985,0.230027,0.04533752,0.050018396,0.17407578
42_30,0.03258068,0.50728434,0.10259002,0.049137656,0.12603293,0.13098285,0.051391453
79_52,0.1712809,0.093849055,0.13507669,0.47015625,0.03361794,0.024740595,0.07127856
30_57,0.29063374,0.0654789,0.17139381,0.12927957,0.159615,0.10614018,0.07745891
31_45,0.021877125,0.724187,0.013504138,0.105738275,0.039711006,0.037800908,0.057181526
94_46,0.051206533,0.04640553,0.11148003,0.21953048,0.01314766,0.019858439,0.5383714
99_45,0.03331252,0.020475814,0.012489683,0.09346344,0.01134311,0.011943869,0.81697154
97_55,0.15933917,0.09839031,0.20424134,0.41540077,0.059524633,0.042607818,0.02049596
76_53,0.07830808,0.05801247,0.4489111,0.14283392,0.053501394,0.033569463,0.18486352
76_49,0.12615503,0.09928144,0.11013603,0.50871587,0.047207247,0.054627717,0.05387661
85_15,0.035175513,0.32972404,0.09909751,0.06366865,0.16343644,0.19941947,0.10947847
85_30,0.18951349,0.08692689,0.093347274,0.29743323,0.096980006,0.09886956,0.1369295
29_59,0.19002245,0.045588113,0.2880713,0.06515529,0.19382337,0.10588726,0.11145227
21_43,0.11071488,0.047240715,0.12105879,0.017984584,0.32727104,0.3527156,0.023014296
67_39,0.02376131,0.074076,0.03577312,0.007233937,0.26163715,0.53900385,0.058514643
33_56,0.19760995,0.038212188,0.12876557,0.018652761,0.2906574,0.30550402,0.020598128
84_49,0.15924628,0.09894156,0.09685709,0.41939673,0.051422425,0.061424807,0.11271118
35_31,0.064320356,0.28848624,0.10475474,0.035525165,0.26474166,0.2271773,0.014994456
46_35,0.07637291,0.08307012,0.107863486,0.034885075,0.358109,0.3108503,0.028849112
38_30,0.022975367,0.12762843,0.10168941,0.011686166,0.29484782,0.425286,0.015886847
64_29,0.06935184,0.11308759,0.07708412,0.04105073,0.25589237,0.22149894,0.22203445
44_18,0.108622,0.13502248,0.15881741,0.06400447,0.34444416,0.16052741,0.02856211
53_20,0.14769539,0.13623184,0.13478437,0.1735897,0.1295397,0.12669438,0.15146464
21_57,0.2903012,0.08900829,0.13917212,0.31273973,0.06856764,0.07174443,0.028466586
91_27,0.13110189,0.10133809,0.10742744,0.35908934,0.058288272,0.079722434,0.16303256
33_37,0.15880474,0.10135262,0.110123895,0.1098325,0.19319968,0.19307779,0.13360873
116_52,0.05826816,0.31846434,0.13061357,0.29222697,0.078195095,0.085321605,0.036910266
40_36,0.07026861,0.086258195,0.030662842,0.015866768,0.35354865,0.42248905,0.02090588
75_10,0.19715104,0.08505003,0.12110409,0.24144648,0.1099842,0.11979888,0.12546536
87_36,0.17958164,0.048326723,0.092638105,0.32887772,0.028702736,0.03528654,0.28658652
84_34,0.20084633,0.06474844,0.15558052,0.3381591,0.042500477,0.04680511,0.15136005
100_22,0.29387143,0.08344369,0.11658458,0.33535504,0.07629562,0.07043112,0.024018414
76_8,0.2873096,0.057078976,0.04205381,0.037299983,0.3036487,0.22616868,0.04644025
92_48,0.15975116,0.07485581,0.11614409,0.50869244,0.03253179,0.037698437,0.07032631
98_53,0.22656344,0.08864694,0.085994415,0.37825242,0.060586482,0.061481383,0.098474935
97_22,0.054406207,0.14884485,0.10239951,0.031013643,0.27888033,0.34056795,0.043887537
99_37,0.11803313,0.16383553,0.07324241,0.36213818,0.06007628,0.0640571,0.15861739
92_11,0.23779574,0.07843907,0.10067948,0.37467155,0.050465718,0.04668176,0.1112667
37_54,0.38628048,0.03612992,0.07642342,0.02800432,0.25777784,0.19653556,0.01884845
60_22,0.09737086,0.1825178,0.19940376,0.24110998,0.07011269,0.07252634,0.13695858
118_47,0.25098136,0.111767575,0.11949177,0.23504357,0.1449418,0.11116431,0.026609587
88_27,0.09533765,0.03333909,0.05738923,0.009621312,0.2747711,0.42666954,0.10287211
106_49,0.21711913,0.06779716,0.165813,0.34593073,0.048341148,0.047933888,0.107064895
29_49,0.037451882,0.58660394,0.04854309,0.10436718,0.07072489,0.0665742,0.08573484
123_59,0.088230155,0.06345048,0.4532804,0.048361436,0.19814305,0.11479777,0.03373674
80_23,0.0440653,0.37582436,0.059785068,0.04224157,0.19141181,0.1965639,0.09010804
112_50,0.12196385,0.06728828,0.11345286,0.047167175,0.30378088,0.21557961,0.13076739
41_48,0.05657635,0.24473016,0.08399681,0.049794298,0.20385098,0.21970363,0.14134777
85_58,0.13986844,0.05716727,0.19746698,0.26148129,0.028555831,0.027300816,0.2881594
48_18,0.13876228,0.043792248,0.11639969,0.20015082,0.052333992,0.036480993,0.41208002
28_39,0.08078268,0.19293536,0.10221152,0.41887292,0.068469144,0.07996833,0.056759965
53_14,0.17228425,0.046236143,0.13512957,0.029321956,0.3508169,0.23343323,0.032777887
32_42,0.05459411,0.15552676,0.06440856,0.045099307,0.22407755,0.30690825,0.14938545
106_52,0.18158574,0.08324396,0.10205464,0.46133974,0.05217057,0.0564013,0.06320403
33_30,0.06709503,0.26941207,0.108251974,0.39221177,0.06312746,0.07170023,0.028201407
50_43,0.1822146,0.05847773,0.1368364,0.12323596,0.122036375,0.10048558,0.27671334
65_38,0.049720928,0.10622924,0.051147554,0.0409148,0.19492286,0.15771836,0.39934632
65_16,0.05127947,0.15545605,0.09451685,0.21070114,0.044021986,0.052911997,0.39111257
68_32,0.079206035,0.059104368,0.090453304,0.21557906,0.035247818,0.050862104,0.46954736
13_48,0.020463938,0.58326334,0.017109489,0.13610145,0.0323571,0.033761557,0.17694321
50_20,0.114837386,0.10048952,0.1535273,0.21543626,0.071872264,0.08407057,0.2597667
105_44,0.062056754,0.14901847,0.09229759,0.34845054,0.038879637,0.04350349,0.2657935
