,Shared topic 1,Shared topic 2,Shared topic 9,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 4
Hnrnph1,-0.19443372,-0.8077301,-0.4150992,-0.21104977,-0.34700632,-0.632665
Clk4,-0.5572399,-1.110486,-0.38533568,-0.59278584,-0.5102129,-1.0426643
Irf1,-1.1301341,0.66188514,-0.7834635,-0.92021835,-0.8521951,0.054541826
Rapgef6,-0.26125753,-0.15020165,-0.32884935,-0.77076113,-0.003518343,-0.35746777
Gpx3,-3.4929242,1.2394682,-0.3918035,-3.2258463,-2.1526806,-0.7908021
Anxa6,-0.60445213,0.27009073,-1.135704,-0.3356362,-0.60694075,-0.21387671
Gm2a,-1.7167823,0.3592918,-0.62781405,-0.9586234,-0.82040787,-0.1600759
Sparc,-1.523118,-1.3636358,0.71781075,-0.34255168,-1.8722169,-1.7602528
Atox1,-0.41269493,0.42530736,-0.43005735,0.25523645,-2.0359712,-1.7054168
Fam114a2,-0.56401265,-0.93972063,-0.5643848,-0.59705395,-0.77607703,-1.0233512
Cnot8,-0.28332475,-0.93874717,-0.5917202,-0.39252567,-0.44530052,-0.37419605
Guk1,-1.550638,0.47473228,-1.2898669,-0.54274434,-1.1929563,-0.4333561
Mprip,-0.08459024,-1.580426,0.10665557,-0.2150628,-0.1830543,-1.04883
Srebf1,-0.6273115,-0.60551566,-0.31405854,-0.9628625,-0.3814178,-0.3146097
Llgl1,-1.032795,-0.25075448,-1.7389973,-0.64389735,-0.43820226,0.11633468
Usp22,-0.5220772,-0.808869,-1.0620081,-0.48781142,-0.532392,-0.55959374
Ulk2,-0.5766432,-1.3977134,-0.38275653,-0.5982431,-0.88210064,-0.9706727
Akap10,-0.46632922,-1.7025594,-0.46503764,-0.67486227,-0.52316606,-1.3989911
Ncor1,0.0031685792,-0.806703,-0.16313311,-0.3538836,0.115716234,-0.65470105
Stx8,-0.47628534,-1.2319694,-0.008846462,-1.7780623,0.03845273,-1.1644492
Vamp2,-1.0879161,-0.30252734,-0.70583606,-0.69758385,-0.9941767,-0.62124443
Chd3,-1.1246343,0.6310327,-0.731348,-0.8630291,-0.5785021,0.01703167
Arrb2,-1.4470247,0.254677,-0.8139903,-0.76272625,-1.3850098,-0.94048476
Cxcl16,-2.4498692,0.78736746,-2.700275,-1.7985157,-2.5578773,-2.1504126
Ankfy1,-0.45664302,-0.07124785,-0.4614759,-0.36126697,-0.21219556,0.12224156
Ncbp3,-0.5908212,-0.9185621,-0.62533534,-0.40131477,-0.5665277,-0.40150678
Inpp5k,-0.47799516,-0.77273333,-0.4789704,-0.50879407,-0.43466777,-0.43043008
Nufip2,-0.32260975,-0.93296075,-0.35865697,-0.50838906,-0.17538388,-0.5575323
2610507B11Rik,-0.4654442,-0.710198,-0.4981302,-0.47537893,-0.4586768,-0.5213316
Nlk,-0.20761901,-0.8685441,-0.24115762,-1.5903687,0.15327601,-0.7725804
Lgals9,-0.24614315,-0.9224537,-0.51552343,-0.06783531,-1.6346544,-1.9721825
Wsb1,-0.6368674,-0.57255185,-0.6784481,-0.6149079,-0.54510355,-0.4659963
Nf1,-0.4707517,-1.6222936,0.19091141,-1.245052,-0.085382015,-1.352054
Slfn2,-0.8906916,0.44022384,-1.1085395,-0.57485974,-0.6909474,0.66034985
Ccl5,-3.9032507,0.8280964,-3.944816,-3.4861486,-3.5124216,-2.8991127
Wfdc18,-4.037312,1.158947,-3.9677548,-3.7039232,-3.5448709,-2.9295478
Synrg,-0.31008682,-0.9142726,-0.28552738,-0.4660905,-0.5377537,-0.57732266
Usp32,-0.569373,-1.0304335,-0.48360872,-0.70889384,-0.42295033,-0.649891
Appbp2,-0.4531862,-0.6412014,-0.48292017,-0.34807593,-0.42217493,-0.3232015
Bcas3,-0.18155965,-1.3513839,0.20814359,-1.817321,0.42231953,-0.75923175
Rps6kb1,-0.34495246,-1.8233293,-0.5638069,-0.65214443,-0.24905407,-1.2672403
Ska2,-0.47307432,-1.8131648,-0.12560901,-0.29799783,-1.2971449,-2.4392948
Trim25,-0.7616743,0.3701668,-0.18434577,-0.4820527,-0.5202208,0.20696771
Ube2z,-0.90902233,0.2844907,-0.49925748,-0.7845386,-0.23185799,0.9547055
Cbx1,-0.27959985,-1.1953466,-0.4257546,-0.057031736,-1.6360128,-1.8742061
Nfe2l1,-1.1621778,0.4547688,-0.653873,-1.5131419,-0.43474787,0.407066
Npepps,-0.32694483,-1.1030778,-0.3760762,-0.4275751,-0.6745323,-1.7822374
Mllt6,-1.466336,0.5755849,-1.906127,-1.4207864,-0.5308603,0.42697382
Lasp1,-0.9060875,0.44095844,-0.95567167,-0.11702925,-0.6139507,0.35073984
Skap1,0.009792604,-1.0954796,0.15683213,-1.0507958,0.4950837,-0.40012485
Arl5c,0.13072821,-2.8933406,-0.3211744,-0.061603636,-1.5135998,-2.3509223
Ikzf3,-0.17852798,-1.1267853,-0.102681264,-0.8174266,0.05523602,-0.40958816
Rara,-0.62113416,-0.6541214,-0.6866062,-0.6786554,-0.7071048,-0.6383778
Ccr7,-3.2863088,1.128138,-3.3277767,-2.956842,-2.2109487,-1.2113905
Top2a,-0.09011949,-2.123723,-0.15665522,0.072964385,-0.34919494,-1.6345594
Igfbp4,-2.2221217,1.0318782,0.38344777,-1.9872174,-1.1698091,-1.0138066
Krt14,-2.662759,0.9619162,-2.1155024,-1.8063195,-2.1172435,-1.0553544
Krt17,-1.6223558,0.7865654,-1.0216665,-0.41231316,-2.1446986,-1.5250821
Jup,-0.40437543,-0.92209333,-0.4161576,-0.38368857,-1.0564561,-0.8870684
Stat5a,-0.43143713,-0.21290767,-0.44751543,-0.44132763,-0.5441932,-0.59837115
Stat3,-0.38474992,0.5801251,-0.40603548,-0.43253523,-0.18810216,-0.12315895
Dhx8,-0.33928585,-1.2387164,-0.59918565,-0.30924237,-0.68045616,-0.56711495
Gpatch8,-0.2871455,-1.182196,-0.41203207,-0.7746578,0.01569125,-0.55177385
Ubtf,-0.4573129,0.2386772,-0.8326005,-0.2815967,0.05923239,0.74180484
Eftud2,-0.5388922,-0.14305145,-0.58947843,-0.44301546,-1.0859749,-1.2204068
Kansl1,-0.018304445,-1.0687181,0.014560118,-1.2909712,0.46237808,-0.702816
Pecam1,-0.49151188,-0.63730776,-0.4216141,-1.0303195,0.13723928,-0.29973033
Helz,-0.10174513,-1.4798018,-0.1460472,-1.0083292,0.23316562,-0.51077944
Gna13,-0.28789678,-0.6798831,-1.1913397,-0.32712287,-0.3962994,-0.22751716
2610035D17Rik,-0.37343046,-1.0911438,-0.46708414,-1.3442051,0.18579043,-0.49471626
Birc5,-0.45623443,-1.7747281,-0.5881157,0.1324714,-1.0569205,-0.7461004
Syngr2,-2.4273272,1.0828272,-2.0662155,-2.0639234,-1.1002733,0.5871327
Timp2,-1.2544234,-0.0010506511,0.063908756,-0.5985764,-0.8205371,-0.87549174
Rnf213,-0.97852695,0.65223366,-0.5940075,-0.5279161,-0.39376163,-0.032314062
Nploc4,-0.63828516,-0.48554832,-0.5560343,-0.6906897,-0.3943545,-0.17644617
Mcrip1,-0.6711458,0.15498681,-0.8686031,-0.40349764,-0.570466,0.7051934
Sirt7,-0.6248883,-0.976684,-0.5138835,-0.64642453,-1.0025473,-1.761857
Cbr2,-0.27690172,-2.626028,-0.070853904,0.33786574,-1.2264757,-1.2621776
BC017643,-0.5797045,-0.32416314,-0.71176296,-0.5023265,-0.80348015,-0.56048137
Rab10,-0.3276232,-0.85498285,-0.35121074,-0.34571898,-0.43637723,-0.5134432
Ncoa1,-0.18128198,-1.7425148,-0.22459793,-0.68588865,-0.24593312,-1.4062064
Klhl29,-1.0135853,-1.4130868,-0.039212227,-0.62946427,-0.6887064,-0.2201437
Laptm4a,-0.78474456,-0.84602666,-0.3558653,-0.56496924,-0.9579971,-1.6175687
Itgb1bp1,-0.88016987,-0.5079741,-0.7660841,-0.57149625,-1.0580438,-0.6807129
Rrm2,-0.46205992,-1.8717759,-0.6087384,-0.30723688,-1.0120555,-1.1402628
Id2,-2.2422304,0.5999211,-2.9393177,-0.8877923,-1.9742649,-1.2895335
Hbp1,-0.53645664,-1.2864869,-0.7051361,-0.30492395,-1.3218529,-1.7767596
Atxn7l1,-0.35389546,-1.0682523,-0.30094934,-0.90454656,-0.029086709,-0.51729673
Snx13,-0.4782622,-1.9641315,-0.5324949,-0.85753727,-0.058230966,-0.84611225
Immp2l,-0.6001122,-1.1032912,-0.095798254,-1.1390381,-0.22021653,-0.73846096
Sptssa,-0.39431262,-0.47563055,-0.4519537,-0.34418303,-0.38810354,-0.27883998
Nfkbia,-0.51299167,0.6992962,-1.007743,-0.48900694,-0.13431644,0.72144145
Mipol1,-0.5090883,-0.8748019,-0.5666694,-0.5736224,-1.3112948,-2.1798394
Mia2,-0.3436717,-1.4686823,-0.15592353,-0.34183508,-0.8357478,-1.8193891
Sgpp1,-0.6807672,0.50187516,-0.76729065,-0.57179046,-0.56697965,0.44069564
Fut8,-0.12074988,-2.4232063,0.06540236,-0.8892285,-0.25692248,-1.7371659
Zfp36l1,-0.9325426,0.8340618,-1.3286941,-0.52282935,-0.77077466,0.5264807
Susd6,-0.33813292,-0.17139558,-0.2487411,-0.6501131,0.12994768,0.2346912
Sipa1l1,-0.2500249,-0.74984324,-0.18630718,-0.7944901,0.07744641,-0.5518759
Npc2,-0.67374194,0.7111002,-1.0242585,0.20550647,-1.038807,0.27131853
Nek9,-0.49124986,-0.48744804,-0.5883825,-0.43516868,-1.1625092,-0.6581567
Ppp4r3a,-0.17594816,-0.8921715,-0.87433934,-0.37541324,-0.25446752,-0.42547876
Cpsf2,-0.6443919,-0.98209715,-0.6360253,-0.55750024,-0.77826583,-0.7308455
Ifi27l2a,-3.1384654,1.0459608,-0.40466803,-1.9709415,-2.636664,-1.7750187
Glrx5,-0.8785622,-0.058967806,-2.06086,-0.101176724,-1.021329,-0.43164966
Klc1,-0.5121812,-0.77701783,-0.55148983,-0.76675284,-0.048398584,-0.40386814
Siva1,-0.7827436,-1.0262959,-0.78113234,0.10546717,-1.7468295,-1.094609
Akt1,-0.4010889,-1.1307383,-0.4737931,-0.4359834,-0.8598561,-1.4134238
Pacs2,-0.84718597,-0.6266472,-0.623812,-0.6619936,-0.60710025,-0.64606434
Brf1,-0.4729701,-1.6492794,-0.62363523,-0.5164419,-0.32797188,-0.5178293
Ighm,-0.19155182,-1.998512,0.0732311,0.2236138,-1.2006793,-1.6045618
Klf6,-0.92773616,0.29734826,-1.3840233,-0.6091175,-1.070792,-0.42723763
Zmynd11,-0.24101304,-0.99641275,-0.3404593,-0.4424294,-0.18388654,-0.44933262
Lyst,0.06510319,-2.4016018,-0.31685784,-0.3376465,0.01894886,-0.6855209
Hist1h1b,0.1542822,-3.1447325,-1.0371999,0.25912738,-1.57406,-1.8455037
Hist1h1c,0.07250389,-2.4430792,-0.51149607,0.114424765,-1.6308279,-2.2637916
Prss16,-0.059714362,-3.5009837,0.18795171,0.21278557,-0.2924119,0.163474
Ripor2,-0.54094267,0.13151526,-0.45512295,-1.2050022,0.03666112,0.028676808
Gmds,-0.4918277,-2.1364393,-0.4622457,-0.6598302,-0.2983083,-1.0111616
Fars2,-0.14784075,-1.5334374,-0.12468244,-1.6609416,0.4017837,-0.5865538
Dsp,-0.8798323,0.4283051,-0.50637746,-0.2965307,-0.49905145,0.15771931
Nedd9,-0.22304541,-0.76168406,-0.03742349,-1.1952028,0.09550223,-0.54943866
Cd83,-0.92059267,-0.527012,-0.29712486,-0.5138744,-1.4446915,-1.0471866
Mylip,-0.5224074,-0.76034266,-0.5354554,-0.4595495,-1.7406427,-2.0356364
Gmpr,-0.70851684,-1.2936825,-0.6051449,-0.62259173,-0.78597224,-0.5823679
Atxn1,-0.30689695,-1.0804797,-0.12561554,-0.94291747,-0.045060605,-0.8737811
Auh,-0.6080872,-1.279181,-0.49216455,-0.7496102,-0.16370505,-0.57386243
Ubqln1,-0.41339138,-0.4258642,-0.50736684,-0.4015448,-0.4690899,-0.4372341
Agtpbp1,-0.7450178,-1.3892684,-0.18691498,-1.1708198,-0.33836028,-0.96312666
Zcchc6,-0.31337228,-0.9879136,-0.28816965,-0.22743803,-0.561744,-0.59624326
2010111I01Rik,-0.39411405,-0.36284226,-0.3751138,-0.49056476,-0.2392182,-0.32984942
Ctsl,-0.35647666,-1.2621042,0.077540815,0.4787771,-0.6276764,0.42221403
Nsun2,-0.5574603,-0.34163117,-0.7587377,-0.5017878,-1.0997955,-0.6341237
Ice1,-0.47203723,-0.68065435,-0.6643313,-0.50000745,-0.45352593,-0.4422528
Slc12a7,-0.7876543,-0.3723791,-0.47501785,-0.959762,0.02454263,0.12062913
Cast,-0.28079984,-0.69491255,-0.30414367,-0.35279253,-1.0905263,-1.2977265
Fam172a,-0.05431353,-1.9194349,0.1338427,-1.1352581,0.2430581,-0.74854386
Ccnh,-0.6443151,-1.8598557,-0.6490757,-0.5623673,-0.95622724,-1.6805122
Rasa1,-0.1436899,-1.6095135,-0.39794165,-0.37836567,-0.4392444,-1.281689
Ssbp2,0.19685009,-2.8881547,0.047234625,-0.59508526,0.09940234,-1.7804917
Tbca,-0.52105695,-0.47974998,-0.7331351,0.26907158,-1.7266753,-1.2894824
Iqgap2,-0.23121531,-1.2356169,-0.2167559,-1.5357033,0.21860984,-0.22688033
Mast4,-0.47969276,-1.3359799,-0.12268111,-0.426378,-0.5714694,-0.5006055
Srek1,-0.40122664,-0.9398354,-0.46591747,-0.4870716,-0.46052235,-0.5871493
Adamts6,-0.44674024,-1.5664232,-0.57306045,-1.0430737,-0.0051871836,-0.51903176
Pde4d,-0.30802745,-0.2294979,-0.3037996,-0.4412342,-0.051876605,-0.14121595
Hexb,-0.2505532,0.2850134,-0.69673973,-0.7534156,0.6429009,1.48804
Snx18,-1.1114924,-0.21615757,-0.8039649,-1.0381078,-0.9143437,-0.2714311
Il31ra,-0.54915535,0.2266755,-0.756785,-2.1847024,0.89763343,1.7012923
Flnb,-1.0776014,-0.1618994,-0.62782985,-0.8631126,-0.46155363,-0.7167169
Thoc7,-0.43364182,-1.3222975,-1.3579547,0.03262596,-1.858161,-1.9554585
Fhit,0.04653848,-2.5029364,0.26205537,-1.5504329,0.34035477,-1.2763779
Atxn7,-0.4285065,-1.1562958,-0.5085771,-1.0343075,-0.243212,-0.61052436
Top2b,0.089006335,-1.4605316,-0.5932404,-0.10721472,-0.12091553,-1.350493
Anxa7,-0.70523256,-0.28061593,-0.5655583,-0.55889,-0.569589,-0.3786971
Ppp3cb,-0.18530196,-1.6743119,-0.3070138,-0.5038669,-0.3317899,-1.313679
Lrmda,-1.1570337,-1.0762837,0.24613142,-0.81201535,-0.64018,-0.6856843
Kcnma1,-1.4507186,0.062225506,0.24684161,-1.8539981,-0.55089355,0.19551766
Dennd6a,-0.4742586,-0.71985257,-0.44826096,-0.47488925,-0.34848565,-0.39296365
Prkcd,-0.5787973,-0.07210365,-0.540749,-0.5133436,-0.98800606,-0.7250017
