,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5,Metabolomics private topic 1,Metabolomics private topic 2,Metabolomics private topic 3,Metabolomics private topic 4,Metabolomics private topic 5
32,0.042590026,0.030070176,0.026850084,0.25839874,0.047566958,0.009987057,0.056874212,0.03689425,0.041737374,0.07913344,0.07438324,0.060447447,0.05416545,0.055374987,0.0147971865,0.029423473,0.009841697,0.028716912,0.042747203
33,0.027806452,0.03894212,0.06837423,0.33053082,0.06123158,0.024401013,0.03297934,0.05169514,0.016605426,0.061304748,0.059220474,0.046227247,0.042912785,0.044060234,0.017380001,0.01841445,0.009515411,0.019343607,0.029054794
34,0.057904597,0.050856985,0.026051313,0.45513624,0.02063161,0.019466689,0.06346676,0.016436247,0.012258049,0.03488859,0.03778372,0.04789822,0.03357071,0.031047141,0.014851233,0.018413192,0.015450394,0.020729383,0.023158891
35,0.046477295,0.054632414,0.014337917,0.21910281,0.041598957,0.033009283,0.030541135,0.037924893,0.04879537,0.06151921,0.058915835,0.084789,0.052513603,0.048066594,0.030472483,0.031162778,0.035909783,0.037210137,0.033020504
36,0.035025787,0.043538645,0.00923385,0.48808685,0.01869385,0.012527411,0.051137596,0.022851463,0.025923772,0.038071048,0.031976596,0.052880477,0.031430203,0.025472296,0.02064163,0.019091325,0.023467558,0.027761418,0.022188136
37,0.024424601,0.033814233,0.01607351,0.54179823,0.01721855,0.01670473,0.03597141,0.018994026,0.028684573,0.023563867,0.015414919,0.04238775,0.018109903,0.015779404,0.016158978,0.016140409,0.079702176,0.023730692,0.015328048
38,0.0159567,0.05754449,0.05492181,0.40503037,0.036009066,0.017204152,0.03915286,0.020199608,0.052653763,0.02803991,0.018295432,0.04583477,0.019975992,0.017596213,0.02178398,0.021217173,0.07583654,0.0328412,0.019905932
39,0.031076629,0.08158384,0.022983065,0.3531179,0.05187604,0.015868204,0.03496964,0.027673319,0.040501397,0.039184116,0.026650013,0.056966864,0.029873922,0.026530318,0.01969626,0.029912746,0.06381987,0.024995195,0.0227206
40,0.027195673,0.029174145,0.05703192,0.40933242,0.044138096,0.025550859,0.025243925,0.043067977,0.035475377,0.034603875,0.025091255,0.05444253,0.028464971,0.030199518,0.019993857,0.024695432,0.03414279,0.024250204,0.027905207
41,0.01901164,0.010077939,0.019760724,0.28903425,0.07545192,0.027800033,0.033071727,0.02000837,0.073873796,0.04556618,0.024405634,0.068663485,0.033256933,0.044517756,0.025179308,0.03930239,0.1002484,0.027340507,0.023429045
42,0.028608356,0.036589175,0.010421247,0.15925631,0.07511074,0.027175862,0.03639031,0.028129976,0.10787307,0.042947806,0.024029873,0.06766247,0.031413272,0.045134157,0.018199319,0.035687365,0.18299113,0.023813728,0.018565785
43,0.023836875,0.09970636,0.024849894,0.15568875,0.011401424,0.0136686545,0.030253151,0.046752445,0.029768188,0.0595458,0.033608824,0.045445,0.024965676,0.025642438,0.015865272,0.03542984,0.28242812,0.020694533,0.020448737
44,0.05395092,0.09385316,0.018328346,0.112360366,0.020627087,0.020376885,0.040574152,0.022379661,0.025560016,0.04865578,0.03338899,0.05038563,0.021825016,0.022269921,0.01656858,0.03492429,0.31995568,0.0239659,0.020049617
45,0.02626462,0.05022301,0.03336334,0.15917571,0.04265542,0.03181005,0.020166103,0.046260722,0.021045746,0.039429717,0.03276123,0.056021374,0.0189288,0.018652676,0.017206993,0.03422955,0.30872145,0.023112705,0.019970803
46,0.015673835,0.06527118,0.042719305,0.2417116,0.05533293,0.037689693,0.02745912,0.037922617,0.013951809,0.043283902,0.038867574,0.069050916,0.021730648,0.021895926,0.027360057,0.043198857,0.13939992,0.025350599,0.03212952
47,0.021691319,0.059427463,0.04224431,0.32978758,0.06541688,0.029105416,0.028414438,0.060976665,0.00764603,0.08443235,0.0660657,0.03859775,0.04125956,0.048016988,0.012646469,0.01963184,0.0056071286,0.012618392,0.02641373
48,0.033973753,0.04945973,0.04728665,0.24574071,0.02567738,0.023606952,0.04920832,0.088979624,0.020332996,0.09282108,0.06719952,0.053895473,0.05526737,0.051190577,0.017877059,0.019458842,0.0077205626,0.017201992,0.033101384
