,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5
LAMC3,-1.742188,0.5119002,-0.57166725,-2.6968584,-3.381316,-1.0331868,-1.0908393,-0.8550127,-0.5760964,0.5328951,-0.43786407,-0.96257466,-2.785655,-2.0717869
COL5A1,0.7374923,0.5998354,-2.0942864,-3.3028538,-5.039019,-3.9418063,-1.4176486,-0.21768421,-1.0633698,0.5388627,-0.31353042,-4.4005756,-2.0416417,-4.287968
EGFL7,-0.13237284,0.03807786,-0.14961806,-0.09479411,-0.011199862,-0.4046255,-0.17570046,-0.39384812,-0.49494964,-0.10672992,-0.76777536,-0.18135108,-0.1522448,-0.13098612
TUBB4B,-0.3130578,-0.08992213,-1.0007355,0.2012813,-0.13022164,-0.5662136,-0.72920156,-0.84601635,-0.48712996,-0.05635053,-1.0499153,0.30006105,-0.38618386,0.01817584
PFKP,-0.41908997,-0.18303606,-0.4871284,-0.20557816,-0.24838331,-0.019611478,-0.36086333,-0.22937995,-0.1524202,-0.31945753,-0.20100072,-0.079956815,-0.08369284,-0.21514134
KLF6,-0.037922546,-0.27828875,-0.22695187,-0.17583947,-0.21922278,-0.23286593,-0.23231947,-0.23775093,-0.10790427,-0.4184073,-0.30015102,-0.07427971,-0.17964861,-0.028265014
AKR1C3,-0.38442558,-0.49105355,-1.0049555,-0.5080352,-0.6535903,0.21092921,0.04837525,0.14958888,0.41561782,-0.5463046,-0.022650778,-0.3421873,0.35121828,-1.1153162
NET1,-1.2919501,-0.42275804,-0.26461354,-0.09570639,0.13346952,-1.1168923,-1.4062653,-1.7577014,-1.4179406,-0.722716,-1.8230209,-0.19449279,-2.6100588,-0.37248135
PFKFB3,-0.89107925,-0.55908585,-0.7079897,-0.85185105,-0.947204,0.21987802,-0.064227775,0.23268503,-0.038910925,-0.41169104,0.18760186,-0.6256675,0.08427063,-0.6442416
RSU1,-0.91956544,-0.46606693,-0.35498315,-0.8180844,-0.9278652,-0.47044048,-0.4368881,-0.3311072,-0.15407518,-0.3640769,-0.117632955,-2.3918755,-0.83132386,-0.554603
CUBN,-0.08595696,-0.22172113,-1.0564549,0.53246903,0.083280206,-1.1867175,-0.90576977,-0.915325,-0.33923262,-0.1412103,-1.9141179,0.64233744,-0.44272107,0.16275787
VIM,0.015426457,-0.061768904,-0.030522192,-0.14110722,-0.047011692,-0.026464004,0.077338114,-0.063315235,-0.1365595,-0.19081914,-0.14951992,-0.13905899,-0.0065342523,-0.017324124
YME1L1,-0.93453056,-0.05452487,-0.81810975,-0.6015502,-0.5251975,-1.0017567,-0.15147886,-0.6537344,-0.3961219,-0.36421636,-0.29525468,-0.60565805,-0.46807793,-0.46835136
ZNF32,-0.6705505,-0.73819005,-0.14923412,-0.96845627,-0.46789998,-0.44857278,-0.2198849,-1.8540424,-0.93490386,-0.49970382,-2.1476307,-1.5218797,-1.5729017,-0.831914
CXCL12,0.7182499,0.28420842,-0.6600828,-2.5779839,-1.105756,-3.8445737,-4.557773,-2.7568758,-1.0619662,0.3793553,-2.686869,-4.3746567,-3.3225753,-0.770815
DEPP1,-0.32388544,-0.18989775,-0.29587832,-0.5248809,-0.18110065,-0.14826034,-0.15616666,-0.08923442,0.03536871,-0.24562933,-0.07763097,-0.405347,-0.032462314,-0.29089135
SLC16A9,-0.6815345,-1.1311835,-1.36675,0.7126845,0.1025781,-2.6191502,-2.2032232,-3.9379191,-1.4731917,-0.36681744,-3.8242235,0.8700223,-2.729935,0.04393336
PBLD,-1.4264848,-0.44859663,-0.20752525,0.13234265,0.42497396,-0.34407657,-1.1525373,-0.61995655,-1.573161,-0.3871754,-0.7455903,0.14033666,-0.74976957,-0.011875451
HK1,-0.13559915,-0.48713475,-0.27544662,-0.4106335,-0.6313092,-0.24334213,-0.24272409,-0.2486496,-0.32776597,-0.40841693,-0.27769122,-0.5978729,-0.5031744,-1.2760391
PRF1,-0.93534184,-2.2837155,0.5891849,-1.8892795,-0.32529488,-0.4253412,-1.5221784,-0.3658637,-1.9793227,-2.566238,-0.33834237,-1.1311475,-0.7096341,-0.93317413
UNC5B,-0.37934732,-0.41587794,-1.9363332,-2.592608,-2.1153994,-0.18538713,-0.17302004,0.23945093,-0.31770033,0.014716208,0.34192955,-4.2096806,-0.57348955,-3.2138932
SPOCK2,-0.28545648,-1.1823869,-1.2428036,0.19670126,-0.9313414,-1.1301177,-0.6264206,-1.5728917,-0.9679656,-1.234558,-0.897256,0.6248889,-0.26321638,-0.09619808
DDIT4,-0.18835916,-0.15816848,-0.4537448,-0.4701853,-0.38787872,-0.12560186,-0.050317653,-0.1560234,0.2125887,-0.2022169,-0.16665654,-0.15133888,0.09030175,-0.15395553
CHCHD1,-1.0537584,-0.62098217,-0.29310238,-1.1642485,-0.38797015,-0.05113399,-0.63287956,-1.2319772,-0.81607044,0.007940948,-0.41007483,-1.2967147,-2.1645207,-0.68855107
VCL,-0.12217204,0.023952931,-0.5581844,-0.46771103,-0.95870453,-0.46410298,-0.29644272,-0.31411517,-0.67982876,-0.05960986,-0.31809667,-1.0060482,-0.39423624,-0.34323055
VDAC2,-1.2247014,-0.036539346,-0.9477158,-1.154228,-0.7402036,-0.32020718,-0.5021324,-0.116033316,-0.37691447,-0.4413977,0.1573953,-1.0773784,-0.094482034,-0.6888734
KCNMA1,-0.86497045,-0.5163528,-0.29402575,0.31258035,0.14150468,-0.7624457,-1.6962941,-1.0160689,-1.1010077,-0.40286285,-0.70307237,0.3927452,-1.6775117,-0.068262815
PLAC9,0.042876303,0.18061274,-0.38371074,-0.09962612,-0.9383789,-0.33624414,-0.28302434,-0.3562161,-0.5027119,0.05167061,-0.36976242,-0.15491304,-0.39492655,-0.1898918
ACTA2,0.22222489,0.5099677,-0.45942104,-0.19285902,-0.31211698,-0.64239764,-0.14006303,-0.118110225,-0.6249355,0.2628507,-0.7311624,-0.40495348,-0.45569572,-0.36474997
IFIT2,-2.2035222,-1.3237588,-0.3774777,-1.0053831,-0.11803937,-0.1652582,-0.51494515,-0.25133485,-0.20562053,-2.2856302,-0.23422489,-2.5369914,-0.5797851,-0.33052534
RBP4,-3.9769592,-4.531329,-4.7567215,0.52372295,-3.51557,-0.22329599,-3.076623,-0.19296265,-0.21690178,-3.787968,0.17670059,0.47035527,-1.0708737,-3.6998737
TCTN3,-0.9573684,-1.4782319,-2.344749,-0.7307724,-1.8659596,-1.1100414,-0.40078476,-1.0819544,-0.22172499,-0.0056431293,-0.0632112,-0.11084223,-0.97276986,-1.7004799
ENTPD1,-0.46648517,-0.2390323,-0.05771932,-2.33441,-0.5238207,-0.754917,-0.021219492,-0.61668986,-0.78334725,0.027923465,-0.060666054,-2.4762065,-1.4570713,-2.4523742
SCD,-0.5107746,-0.31615764,-0.61386275,-0.088837855,-0.21388534,0.07019608,-0.228646,-0.09319536,-0.09132524,-0.3762136,-0.16579896,0.03848684,0.047878638,-0.19649415
PAX2,-1.3365691,-0.035721153,-0.705171,0.0044428557,-0.014741838,-0.50709516,-0.6468985,-0.6016324,-0.43233663,-0.5177712,-0.56066084,0.2181722,-3.4314976,-1.3089299
ATP5MD,-0.5576006,-0.28548592,-0.26130393,-0.1829486,-0.22191575,-0.032385617,-0.43736845,-0.18080133,-0.24207935,-0.2626487,-0.21805523,-0.23121847,-0.2082918,-0.33453232
SLK,-1.5672168,-1.272075,-0.62046725,-1.0893587,-1.4326746,-0.2937799,-1.3381426,-0.69317085,-0.2746502,-0.4616521,-0.3075897,-0.42523098,-0.48795438,-1.2304041
TCF7L2,-0.39440715,-0.4865887,-0.41578647,-0.9137701,-0.36026976,-1.2291012,-0.23685008,-1.3352714,-1.9982578,-0.50740534,-0.7086812,-1.3668725,-3.8075001,-0.16792685
HTRA1,0.1350171,0.1394166,-0.42032015,-0.25617418,-0.38291356,-0.45413044,-0.07466805,-0.17036438,-0.29086137,-0.027419478,-0.2504572,-0.39290076,-0.19990833,-0.39814532
BNIP3,-0.27666327,-0.23544444,-0.7307948,-0.03921344,-0.21358618,-0.14831656,-0.07137026,-0.16834103,-0.12511821,-0.20555794,-0.23840752,-0.0061336607,-0.05132237,-0.24904594
IFITM1,-0.2715975,-0.1485658,-0.6181676,-2.4670844,-0.22884713,-0.65149164,-0.21291965,-0.14714591,-0.17308812,-0.10962716,-0.04716149,-3.56212,-0.97458297,-0.76923394
CDHR5,-2.1404757,-0.014154762,-1.0150213,0.5341832,0.14323834,-2.0095901,-0.9922485,-3.2135553,-0.8982658,-0.44660872,-2.164462,0.7623782,-2.1625762,0.098426044
