,Shared topic 2,Shared topic 3,Shared topic 6,Omics 1 private topic 3,Omics 1 private topic 6,Omics 1 private topic 10
200,-4.5494466,1.8939815,-3.9985218,-2.708418,-4.0937786,-3.762241
201,-3.7288742,-1.7957277,-2.569127,-3.7369394,2.2061563,-4.5154524
202,2.0072336,-1.9935273,-2.4063728,-2.3496938,-3.0249164,-4.522628
203,-4.8745317,-3.3886137,-2.1735396,-3.6253517,-3.363035,2.3148086
204,-3.1132913,1.747166,-3.3278933,-2.0518355,-3.7996867,-4.4509315
205,-5.3994775,-2.8821988,-2.2721286,2.2390525,-4.103038,-4.2437806
206,-5.2141232,-1.8991425,-2.2407048,2.5229402,-3.0948806,-4.697724
207,-4.5951796,1.7139857,-2.256428,-3.9231963,-3.85176,-4.5559506
208,2.3197908,-2.4086668,-3.0275683,-3.5950203,-2.360787,-4.9912467
209,-4.6507525,-1.3260651,2.2894254,-3.9367971,-3.211078,-4.7133083
210,-3.354202,-2.075305,2.025042,-3.6363568,-2.848642,-4.5472803
211,-5.341432,1.9916539,-3.8606524,-2.9768033,-1.9304414,-4.538069
212,-4.5055447,2.127737,-2.4400115,-3.4606621,-3.6034253,-4.509653
213,-5.2495933,-2.5802689,1.984549,-3.935234,-4.6907015,-4.7871785
214,2.5290945,-2.679645,-4.3495293,-4.32716,-1.0262158,-4.705173
215,-5.0358253,-3.9960566,2.0096507,-4.354501,-3.5910728,-3.9640296
216,-4.6852984,-2.1013546,-2.181429,2.393427,-2.877489,-4.66504
217,-3.9708622,-3.139871,-3.3956332,2.2149997,-3.2031727,-4.1230564
218,2.6596398,-2.7598214,-3.8483686,-3.6162221,-2.7584934,-5.0088778
219,-3.0718725,-1.8688501,-1.6661109,-2.9284914,2.4835453,-4.4696865
220,-4.4640474,-3.650941,1.96621,-3.9088507,-3.1628258,-3.755567
221,-4.0844297,-2.2879272,2.0671701,-3.1541538,-3.2402759,-4.333862
222,-4.764148,-2.214283,2.0514255,-3.9491858,-3.6521447,-5.034278
223,-4.2098217,-3.227861,-3.1763835,1.9683193,-4.3687677,-4.2944202
224,-5.7683635,-3.7719388,-3.3864245,-3.1997786,-3.5413144,2.4483485
225,-3.8997662,-3.0997279,-2.963104,2.1737497,-4.0733347,-4.157062
226,-5.1156764,2.316517,-1.900519,-3.6176865,-1.5719492,-4.7858634
227,-5.0164657,-2.4677346,-3.7642546,2.1124377,-2.876389,-4.7533655
228,-4.863233,-2.191267,-1.0794196,-2.2732525,2.5987422,-4.9739337
229,2.6756384,-2.2062101,-1.5036916,-3.5100536,-2.8877845,-4.6345043
230,-5.1703587,-1.4058359,2.2274876,-3.6409717,-4.1687994,-4.735772
231,2.4285553,-2.5058458,-1.5124947,-3.799283,-3.6558928,-4.2857933
232,-4.714906,-2.1126761,2.1016293,-3.1039135,-3.1856678,-4.416136
233,-5.340427,-3.3852994,-3.6027222,2.2079778,-3.6120648,-4.6188145
234,-4.1592393,-3.0832863,-4.187593,-4.237999,-2.3489351,2.9370189
235,-4.38048,1.7390099,-2.7697725,-2.8730335,-3.432064,-4.620225
236,-4.368978,-3.1240737,-1.6966027,2.4073334,-4.367893,-3.8715184
237,-5.1968813,-2.5298345,-3.1439915,2.0923233,-4.1062107,-4.8250017
238,-5.2752767,-2.6145587,-3.1243773,-3.6442027,-1.9110264,2.6690876
239,-4.771749,1.9157586,-2.6293123,-3.2529726,-2.6264133,-4.556409
240,-5.179837,1.4676831,-2.4413342,-3.4260964,-2.506008,-3.7579265
241,-4.6499996,-0.62870485,2.2363765,-3.183036,-3.454189,-4.8051147
242,-4.6759934,-2.6966412,2.1496987,-3.9557757,-2.5107934,-3.8450017
243,-3.9422245,-2.70865,-1.8723652,-3.7983332,2.1764336,-4.478526
244,2.252089,-4.077859,-2.6032412,-4.171354,-2.4096751,-3.451949
245,-4.066662,-2.189618,2.1412098,-4.267594,-3.5467873,-4.0119348
246,-4.6038833,-2.773576,-3.3362217,1.9907092,-4.6073112,-4.342206
247,-3.9985611,1.9650023,-2.0749288,-4.434329,-2.1898496,-5.1975875
248,-5.026174,-2.3256006,-4.3318214,-3.768096,-0.929216,2.5621908
249,-3.0555694,-2.6874776,1.9875165,-2.760279,-3.813915,-4.6999207
250,-5.529458,-2.457539,-4.2632656,2.035452,-4.348621,-4.951423
