Shared topic 2,Shared topic 3,Shared topic 6,Omics 1 private topic 3,Omics 1 private topic 6,Omics 1 private topic 10,Omics 2 private topic 2,Omics 2 private topic 4,Omics 2 private topic 5
3.4404922,-0.6837136,-0.2384398,-0.16778934,-0.43745342,0.29112893,-0.26754647,-0.5570576,-0.45868507
-0.41820967,-0.28240502,-0.4386978,-0.10344091,0.016814897,-0.17885716,-0.09461496,-0.10106974,-0.19762011
-0.21562098,-0.12807591,-0.2478907,-0.16489199,-0.39565176,-0.069721304,-0.5025543,-0.6674566,-0.407003
-0.2851373,-0.14541799,0.10685657,-0.18936141,-0.073695526,-0.20278509,-0.09453589,-0.41705373,-0.21174026
-0.24236146,-0.20615353,-0.6470479,-0.22709402,-0.10776645,-0.09054046,-0.6217894,3.2461233,-0.28796968
-0.38170063,-0.08554289,-0.17403072,-0.20983708,-0.114057556,-0.07269421,-0.22604457,-0.22636555,-0.21633554
0.07047026,-0.12320959,0.15503573,-0.17514277,-0.120585784,-0.000318832,3.4235272,-0.5488808,-0.36027986
-0.5351014,-0.84262216,-0.6000391,-0.04621877,-0.13594913,-0.3301806,-0.7084204,-0.72915053,3.043182
-0.18078218,-0.8011405,-0.43012428,-0.29546487,-0.3026715,0.43122965,-0.8264501,-0.5490625,4.052291
-0.13970967,3.0320582,-0.417355,-0.2423648,-0.2273989,0.34958896,-0.3806209,-0.3625894,-0.19740555
-0.17695172,-0.15062377,-0.3169049,-0.23546195,-0.12510468,-0.07649958,-0.09548004,-0.29842088,-0.48931897
-0.17624733,-0.31089574,-0.24803725,-0.2707675,-0.30474126,0.6750672,-0.2301595,-0.30851424,-0.09095867
4.082069,-0.22738627,0.11569216,-0.23895739,-0.089404024,-0.17984232,-0.24475914,-0.5393251,-0.30036417
-0.501088,-0.48394567,0.14628114,-0.17988288,-0.42202854,-0.062844805,-0.1783731,-0.2974903,-0.24907158
0.32416475,-0.16497298,-0.41828713,-0.20999908,0.14915119,-0.15930332,-0.03385803,-0.3253377,-0.28233212
-0.2543263,-0.31351048,-0.20605144,-0.11774489,-0.1522448,-0.041799866,3.5067763,-0.51891947,-0.31445077
-0.029193148,-0.097789034,-0.03723754,-0.18816538,-0.38043493,0.017247185,-0.21948867,-0.32417673,-0.20325245
-0.7099157,0.32411718,0.5475332,-0.14750433,-0.100171246,-0.004696049,-0.0949921,-0.26281178,-0.09562839
0.070612736,2.730073,0.40533382,-0.2122627,-0.21712491,0.22490075,-0.38247052,-0.45823216,-0.35756147
-0.12692998,-0.08315319,0.6862167,-0.15907371,0.04364017,-0.034668922,-0.75191844,-0.6368704,4.176932
-0.14583561,-0.015387461,-0.14537522,-0.2977094,-0.5682149,3.1735559,-0.40509498,-0.6246468,-0.11018255
-0.3626569,2.7302303,0.24614473,-0.18365812,-0.18289904,0.24742839,-0.32930857,-0.3541414,-0.29717642
-0.20395622,-0.1539796,0.49754322,-0.20977548,-0.05699523,-0.17526321,-0.24697056,-0.3915944,-0.16272576
-0.12467929,-0.12509766,-0.09044892,0.03012339,0.33303347,-0.1844992,3.5034869,-0.34092206,-0.2849034
-0.32788998,-0.32977945,-0.31078655,-0.16795859,-0.0486663,0.008138368,-0.5371553,3.3961592,-0.45248494
-0.26807487,-0.8281797,-0.463431,-0.14265801,-0.11401966,-0.08809524,-0.615097,3.0139525,-0.2736995
-0.09506169,-0.012099532,0.003545225,-0.20467758,-0.10696234,-0.052850634,0.042135812,-0.31059563,-0.35810235
-0.32713732,-0.67411673,0.33054587,-0.21351022,-0.3965313,0.03615616,3.6891766,-0.5208932,-0.44903523
-0.7623308,-0.36318997,0.009607585,-0.20415774,0.002709035,0.19253048,-0.6193162,3.168775,-0.4172166
-0.34231794,-0.44596213,-0.32540986,-0.19368584,-0.3008396,-0.014068909,-0.4754382,3.0021095,-0.3857197
-0.2951069,-0.26918972,-0.3350522,-0.15361097,-0.13810319,-0.09195357,-0.75999904,-0.6332344,4.2708178
-0.26496494,-0.072140835,-0.01706737,-0.06133566,0.002059543,-0.1341494,0.018865708,-0.15894404,-0.19607961
-0.5502506,-0.54146236,0.07666124,-0.15617377,-0.28846684,0.09675277,-0.030233203,-0.31497568,-0.27067697
-0.6120974,-0.8629731,-0.661531,-0.32372153,-0.5662554,3.3549194,-0.17599611,-0.5116955,-0.17761008
-0.19521978,0.060320646,-0.007729277,-0.07567862,-0.21150108,-0.065652944,-0.735479,2.9611301,-0.31619158
3.755176,-0.29672608,-0.6798472,-0.20420265,0.025413953,-0.1703012,0.6833158,-0.50843143,-0.30528888
-0.39853245,2.821309,-0.74851274,-0.23589247,-0.20858279,0.2533855,-0.36840343,-0.18321234,-0.28004766
-0.5205854,0.114270404,0.3988592,-0.12594916,0.054863237,-0.07208382,-0.10182772,-0.32043648,-0.22480856
