Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 4,Omics 1 private topic 6,Omics 2 private topic 5
-0.8513098,-0.021047775,-0.16107884,-0.25167748,3.1593785,-0.13416496,-0.39781466,-0.354768,-0.22271425,-0.40072936
-0.46407112,-0.42570996,-0.30441564,-0.44039363,-0.39394104,-0.09376669,0.113184415,0.008773373,0.03609988,-0.48433736
-0.4643897,2.5796096,-0.5869804,-0.45774612,-0.30224457,-0.24240506,-0.38645774,-0.26535496,-0.20885056,0.0301635
-0.060235575,4.1595426,-0.087644145,-0.2733636,-0.28614044,-0.5639184,-0.47776103,-0.15545963,-0.17071229,-0.11392795
-0.23255026,-0.37040293,-0.3451994,-0.27266473,-0.40130138,-0.2786359,0.8830664,0.37403718,-0.31587923,0.16738573
-0.4695192,-0.32295197,-0.0449465,-0.1730932,-0.19480199,-0.44173324,-0.6210638,4.708037,5.3883443,-0.10129074
-0.56633687,-0.35285804,0.31070197,-0.2594473,-0.39124388,-0.5508455,0.14632158,-0.21304253,-0.14603955,0.019562263
-0.12888424,-1.1376495,2.048343,-0.1404709,-0.5530528,-0.4747627,-0.24816382,0.13989924,-0.35030213,-0.56112134
-0.45342898,-0.04724525,-0.16981928,-0.43381938,-0.07166297,0.03534053,0.009410512,0.20096348,-0.2154499,-0.13362217
-0.98637384,-0.5518026,0.10837234,-0.3951699,-0.2655526,0.5524449,-0.4044076,-0.34540558,-0.35274726,-0.13641895
-0.2562138,-0.79975104,4.136942,-0.060478628,-0.2810381,0.1892072,-0.30104804,0.41683,0.61465394,-0.55290526
-0.5044738,-0.03772243,3.5620775,-0.53900373,-0.26821962,0.3282722,-0.19530556,-0.23044568,-0.23870976,-0.48133305
-0.62615603,0.75000775,-0.40837365,-0.45751473,-0.3059863,0.00378905,-0.11384752,-0.2745279,-0.14528617,-0.07534182
-0.37520695,-0.11117965,0.22263992,-0.4156872,-0.26982576,0.22388043,0.25114596,4.7133155,4.870371,-0.3966493
-0.19870768,-0.38911018,-0.46288025,-0.36027783,-0.45562065,-0.3419949,2.695979,-0.30549657,-0.2975871,-0.4956367
-0.79030377,-0.287597,-0.31387115,-0.6628649,-0.27101427,3.0534534,0.12878636,-0.41192427,-0.26974285,0.021843497
0.002127618,-0.4217525,-0.6286356,-0.28596523,3.5057573,-0.40802193,-0.14712267,-0.38239083,-0.25822648,-0.29770288
-0.7123428,-0.10772705,-0.23933685,-0.14651906,-0.3908053,3.6537385,-0.51889116,-0.42242053,-0.22174607,-0.22945124
-0.2169675,-0.27208948,-0.120151445,-0.24474326,-0.25433803,-0.22200857,-0.16135283,4.4983053,4.9578233,-0.3415934
3.855118,0.28855637,0.08015311,-0.3030932,-0.30510604,-0.2100808,0.3511672,-0.3311911,-0.29574287,-0.19247445
-0.21061517,-0.3585821,0.16575214,0.1572251,-0.36101335,-0.50637746,-0.12340292,1.9334861,0.84496546,-0.07671615
-0.46006697,0.33136967,-0.5652702,-0.5038012,-0.34398398,3.582576,0.12024366,-0.30562115,-0.31141412,-0.17757685
2.596559,-0.696835,0.23862103,0.005655821,-0.36796606,0.23105931,-0.057658203,-0.3893422,-0.2512558,-0.23989491
-0.12522057,-0.41745085,-0.49134687,-0.2648074,-0.44246683,-0.14186434,4.0460854,-0.31236735,-0.22780728,-0.30243945
-0.16768017,2.833341,-0.16626763,-0.35218078,-0.28661257,-0.40459222,-0.25462112,-0.31314644,-0.19943772,-0.19460091
-0.5918538,0.16060486,0.11135053,-0.4576027,-0.049788073,0.51828676,0.34620693,-0.26994467,-0.11408102,-0.1288635
-0.11767031,-0.09382351,-0.17818435,-0.24416578,-0.27087596,-0.30669618,-0.13761806,-0.36916718,-0.17687725,0.14727633
-0.20233724,-0.036997452,4.16034,-0.3004737,-0.29876155,-0.4135238,-0.33460256,-0.27405748,-0.30083373,-0.56781334
0.21347801,1.4303863,-0.30611917,-0.32233468,-0.40273377,-0.35667607,-0.3999776,-0.34142816,-0.2515256,-0.20071936
-0.2863606,-0.1537796,-0.4263957,-0.6825803,3.2152085,-0.8269023,-0.05058811,-0.37375313,-0.3320617,-0.32060665
-0.2872077,-0.5837905,-0.3534742,-0.44617966,-0.34111547,-0.7827085,-0.7590587,4.7036343,5.3804374,-0.25010476
0.005083829,-0.14743742,3.6532907,-0.51779956,-0.41070372,0.2564615,-0.004350081,-0.24066147,-0.22947556,-0.46926212
-0.32893085,-0.21361235,-0.22760895,-0.37172776,-0.29108813,-0.23013422,-0.28160065,-0.37338695,-0.2725129,-0.37394145
-0.19337012,-0.18696868,-0.28404066,-0.25425798,-0.25163677,3.2699559,-0.4219476,-0.45382783,-0.3048532,-0.161166
-0.13342147,-0.36004275,0.06610643,-0.2769859,-0.31746894,-0.45790845,-0.20766577,4.6785564,5.0818186,-0.20101258
-0.026740849,0.23413958,-0.22670346,0.012359038,-0.27005967,-0.24249129,-0.1057,-0.35237342,-0.21984607,-0.15524565
1.9371791,-0.5565631,-0.28663316,-0.39051613,-0.38310787,-0.47143823,-0.6056508,0.07425734,0.10053259,-0.21150649
-0.007209314,-0.22233789,-0.33214134,0.11097673,-0.27342844,-0.18425402,-0.030553967,-0.34605014,-0.22487727,-0.009836819
-0.4962162,0.27759296,-0.32890564,3.4442344,-0.38727063,0.18230966,-0.1977606,-0.29372633,-0.13008949,-0.5717494
0.36434078,-0.4522151,-0.3897657,-0.5607345,-0.2061731,-0.10678506,3.9578733,-0.30941772,-0.32737285,-0.3115078
0.03333085,-0.65957606,-0.5783659,-0.5665372,-0.013508573,-0.94976604,-0.08587867,-0.3967423,-0.3069443,-0.002098644
0.18479453,-0.32471102,-0.09010821,0.12190096,-0.35570177,0.001203015,-0.04488697,-0.2944525,-0.14428098,-0.09414765
-0.106495135,-0.5504064,0.003120966,-0.7061952,-0.18940994,-0.6657709,-0.012861647,-0.3221532,-0.26532784,4.098128
-0.36633754,3.9465063,-0.15854746,-0.12942262,-0.29861718,-0.7125336,-0.48301154,-0.15454741,-0.16809055,-0.13980374
