,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 4,Omics 1 private topic 6
155,-6.6408854,-2.252448,-0.99089384,-3.8517683,3.0820045,-5.680981,-2.2457347,-1.3340328,-4.555197
156,-6.025804,-0.24412128,-1.5466928,2.8381078,-4.0638523,-2.5887997,-1.1658657,-0.19552583,-4.008586
157,-5.071873,2.6837687,-0.7652137,-5.7949023,-1.5179292,-2.098392,-4.6924806,-0.47114742,-4.4645634
158,-5.891675,-2.8679247,0.39527398,-6.0478487,3.1036916,-4.9131203,-5.5453362,-1.0375208,-4.310789
159,-4.4417334,2.8016224,-5.24581,-5.9620843,-5.3341255,-5.0623517,-0.039491832,-0.9925883,-4.7479763
160,-1.9369949,2.5358198,-1.6326897,-5.5320854,-6.1409836,-2.9714825,-0.6748405,-0.70664686,-3.1352339
161,-2.546635,-2.9610956,-0.120011985,-5.0920486,3.1254308,-0.9946034,-4.3530054,-2.0951962,-4.690421
162,2.6791983,-3.702532,-2.7365112,-3.888131,-5.3887677,-1.3636155,-0.59214085,-0.5675176,-3.720549
163,-0.9171722,-2.2116923,2.9853234,0.32983798,-4.3451605,-5.53701,-3.5574791,-2.4904928,-3.9957633
164,-4.697249,-4.1707225,2.9152014,-5.487223,-4.6136827,-5.1196017,-1.755411,-0.60457146,-3.9764261
165,-5.435018,-2.272722,0.018719375,-3.1814952,-1.7018529,2.8943589,-0.41458657,-4.037388,-4.053733
166,2.909673,-2.2112668,-2.781613,-3.9136262,-1.3035636,-5.8575954,-1.2709498,-0.744039,-4.290159
167,-0.9245374,-1.9374768,3.0409265,-2.9079025,-6.1444674,-1.9011469,-1.4682219,-0.69339746,-2.9822376
168,-5.1791053,-4.2302923,2.7854183,-4.696076,-1.8402312,-5.6011662,0.21749389,-0.9641306,-4.219804
169,-5.3970695,-2.498877,-1.0971272,-5.954843,3.2567494,-3.640652,-0.9249637,-4.4176855,-4.968405
170,-1.7943755,-4.724975,2.7023764,-2.7858908,-4.6206875,-2.1338787,-4.4849615,-2.46711,-4.543285
